AADF,NE,SE,WM
2000,32643,183275,79920
2001,31407,181183,78138
2002,30293,176247,73433
2003,31771,184722,73426
2004,27168,157985,61833
2005,23391,141784,54449
2006,32101,202943,75335
2007,24052,148645,51618
2008,29516,193045,63598
2009,35006,211370,72132
2010,34611,208147,72116
2011,38064,227754,77867
2012,38478,211643,74252
2013,41094,208928,72482
2014,39312,205359,70136
2015,39879,202332,68440
2016,40511,205736,70844
2017,40354,208027,72502
