AADF,NE,SE,WM
2000,87337,557469,222525
2001,92080,578675,232931
2002,95750,574776,237346
2003,109251,638188,267168
2004,99240,554963,225081
2005,94341,552226,214996
2006,93356,547278,213851
2007,95141,541298,212727
2008,93487,514721,205438
2009,92593,529224,210086
2010,87222,491187,196972
2011,85661,487827,196507
2012,79159,461778,183164
2013,80621,467704,187843
2014,83425,471372,193522
2015,80444,463446,190789
2016,80295,470219,189350
2017,78257,470432,186612
